# roots: aimock=97998 (AIMock boot), stack=98259 (npm run dev), runner=1376 (full D6 matrix; the later --demo runner processes were children of this session's shell and are not in this sample set).
# RSS samples (KiB), every 5 s: all descendants of the roots in /private/tmp/claude-501/-Users-tylerslaton-Code-CopilotKit/46e242f6-1b34-4976-b132-d4b1ececf87d/scratchpad/lgp/roots.txt (AIMock boot, LGP stack boot, D6 runner incl. Playwright Chromium). Other agents' processes are excluded by ancestry.
23:08:37 total_kb=137264 root97998_kb=72896 root98259_kb=64368 top=node:72896 load=5.35
23:20:02 total_kb=6728912 root97998_kb=88512 root98259_kb=6640400 root1376_kb=0 top=next-server (v15.5.26):6018960 load=3.79
23:20:07 total_kb=6731312 root97998_kb=88512 root98259_kb=6642800 root1376_kb=0 top=next-server (v15.5.26):6018960 load=3.57
23:20:12 total_kb=6835536 root97998_kb=88512 root98259_kb=6747024 root1376_kb=0 top=next-server (v15.5.26):6088592 load=3.76
23:20:17 total_kb=6807056 root97998_kb=88592 root98259_kb=6718464 root1376_kb=0 top=next-server (v15.5.26):6088624 load=5.30
23:20:22 total_kb=6806560 root97998_kb=88592 root98259_kb=6717968 root1376_kb=0 top=next-server (v15.5.26):6088576 load=11.44
23:20:27 total_kb=6854224 root97998_kb=88592 root98259_kb=6765632 root1376_kb=0 top=next-server (v15.5.26):6094912 load=10.77
23:20:32 total_kb=6859424 root97998_kb=88608 root98259_kb=6770816 root1376_kb=0 top=next-server (v15.5.26):6097520 load=10.30
23:20:37 total_kb=6859360 root97998_kb=88608 root98259_kb=6770752 root1376_kb=0 top=next-server (v15.5.26):6097456 load=9.64
23:20:42 total_kb=6873920 root97998_kb=88608 root98259_kb=6785312 root1376_kb=0 top=next-server (v15.5.26):6109312 load=8.95
23:20:47 total_kb=6879072 root97998_kb=88640 root98259_kb=6790432 root1376_kb=0 top=next-server (v15.5.26):6114192 load=8.23
23:20:52 total_kb=6882624 root97998_kb=88640 root98259_kb=6793984 root1376_kb=0 top=next-server (v15.5.26):6115280 load=7.65
